organisasjonsnummer,navn
811025542,CHEMI TEKNIK AS
811060402,CHR BRYNILDSEN & CO AS
811141402,CARLA STUDIO AS
811550582,CAMPUS 4 AS
811560782,CLAVIER CLASSICS
811593052,CHRISTOFFER PAULSEN
811599182,CASH UP FRONT
811621382,CHRISTIANO INVEST AS
811625132,COOPERAR.IO AS
811634662,CASA LELLA AS
811655902,CAPRI CLUB NORGE
811684252,CRISTINEL-CONSTANTIN DOBRINCIUC
811703672,CHARLOTTENLUND VIDEREGÅENDE SKOLES SENIORLAG
811785822,CELCO MURER OG FLISEFIRMA
811789682,CLINIC BARBORA AS
811798452,COHKKADIEVA TRIMKLUBB
811830232,CAPALOS HOLDING AS
811849642,CERTIFY AS
811873462,CHRISTOFFER MATHISEN FREELANCE
811902632,COWBOYS AND ANGELS AS
811991562,CB CONSULTING AS
811995932,CATO REGNSKAP & RÅDGIVNING TOR SKIPPERØ
812010492,CONTADOR HOLDING AS
812057642,CITON INVEST AS
812064002,CRUX HOLDING AS
812090062,CLOFT INVEST AS
812104152,CAROLAS BUASPA & SOL AS
812111612,CHRISTINE TCHORZ
812113232,CAR-O-LINER NORGE AS
812165992,"COLIBRI, EGIL HAUGE PEDERSEN"
812167022,CRAS AVEM TORALF TYSSE
812172492,CHRISTIANSAND BACKLINE SERVICE AS
812173472,CHINA RESTAURANT SURNADAL AS
812259202,CASTOR KOMPETANSE AS
812273442,CARITAS BERGEN
812301292,CAR OUTLET NORWAY - ELECTRIC CITY AS
812306782,CAMPUS 6 AS
812353322,CSB MUSIKK CHRISTOPHER SOOT BAARDSENG
812366262,CINEMA-SHOP.NO
812387502,CAFE C STAVANGER AS
812416782,CHRISTER ANDERSEN
812429582,CONOW AS
812440942,CLIMATECH AS
812450352,CHILL AS
812461192,COXI HOLDING AS
812466542,CATHRINE JYOTI SKJØNSTAD ANDERSEN
812468332,CARLOS MARIACA BELSETH
812483692,CONCEPTUAL VISION KURT RUNE STORLØS OLSEN
812487272,CHRISTIANIA HEALTHCARE AS
812497642,CATALYST GEIR BERNTSEN
812498932,CARE & SECURE CONSULTANT JAN STENMAN
812519352,CENTRUM FRISØR ABDALLA SHEHADEH SUBH SUBH
812552112,COMMANDO DA
812572202,CLOAK & DAGGER AS
812611542,CCL HOLDING NORWAY AS
812623532,COMMUNOVA FORLAG BERULF VAAGAN
812636782,COLOR4CARE
812662732,CRIME RECORDS AS
812672932,CAMINA INVEST AS
812683152,CHEMICAL MUSIC LTD
812683632,CENTURION HOLDING AS
812696262,COLIN HOLDNING AS
812774522,CLEARLII AB
812784862,CHROST MATI BYGG AS
812794922,C-MEDICAL AS
812812262,CENTERKLINIKKEN AS
812818422,CG TRANSPORT AS
812855352,CCC INVEST AS
812874772,CARRERA SOLUTION NUF
812890042,CLINIC 112 VARDA BAIG AS
812977032,COOP INNLANDET EIENDOM AS
812980262,CAMPUS 7 AS
813001152,CRAMER & CO AS
813017032,CELLOLYD
813034662,CAMILLA BRATBAKK
813049902,CARTER HOLDING AS
813054132,CHARLOTT MADELEINE UTZIG
813103532,CARSTEN SØREIDE AS
813156202,CELINN KYSTFISK AS
813170582,CHARLIE FJÄTSTRÖM
813211572,CECILIE RØRVIK
813251892,CLOCKWORK CONSULT AS
813306212,CALITEC ARKADIUSZ MIECZYSLAW SMICH
813332302,CONNIE JENSENS LEGEPRAKSIS
813372142,CONGOLESE YOUTH EMPOWERMENT (CYE)
813382512,CIVITAN INTERNATIONAL
813390272,CANASTA AS
813395932,CANTARA
813436612,CHILDRENS INTERNATIONAL SCHOOL MOSS AS
813515202,CASTOR EIENDOM OG BYGGFORVALTNING AS
813523272,CHRISTIAN AASBØ AS
813549522,COMPLETTBYGG AS
813582562,CHANTY AS
813600862,CLK INVEST AS
813648962,CECILIE LØVØS VEG 2 AS
813666782,CONFURA AS
813681412,CAMILLAS LUNSJ & CATERING AS
813693712,CBG HOLDING AS
813699192,CAFECOMPAGNIET AS
813735202,COROMATIC OY
813743582,CTR HOLDING AS
813801442,CULTSMILL LTD
813815532,CAMEO INVEST LTD
813815702,CROCKATT CONSULTANTS LIMITED
813884062,CJME HOLDING AS
813884852,CFC PYROTECHNICS AS
813888742,CARL OTTO CHRISTENSEN
813911442,CALIFORNIA INVEST AS
813912872,CLEANCOM AS
813960842,CLAES ARVIDSSON NGES
813992302,CATHRINE ROSSBACH HEIER
814039692,CREO STUDIO AS
814044092,CLIO LINDHAGEN
814101452,C&M INVEST AS
814109682,CT SOUND CHRISTIAN THON
814127222,CAPGUARD ASSET MANAGEMENT AS
814138062,CARL J. JOHANSEN AS
814139212,CRMIC AS
814157172,CIMEM S.R.L
814191222,CARMENCITA NUSTAD AS
814194582,CORK MEDIA EGIL CORK-LARSEN
814206432,CONCERNED ARTISTS NORWAY
814218392,CLEARTECH AS
814230252,CAVA EIENDOM DA
814240762,CHINATI MARINE MANAGEMENT AS
814246582,CT INDUSTRIER AS
814247082,CUBE MARTA MARIA STEPIEN
814248852,CAMPIA GRØNNÅSEN AS
814257452,CONTEMI HOLDING AS
814267172,CHARLIE STORM MESSEL AS
814285502,CHRISTINE EIDE MAURSTAD
814310272,COSMOPARIS
814361152,CATHRINE HARALDSEN
814383822,CHRISTIAN BERLI
814405982,CBH UTLEIE CHRISTOPHER BRÆNDEN  HAVERSTAD
814413152,CONSUB LIMITED
814419312,CITYSWIP AS
814446212,CHILLI FRISØRER AS
814466752,CONSEA AS
814493962,COOR OFFSHORE AS
814508102,C.GRAM
814513572,CENCIT AS
814545482,CRE8IV AS
814599892,CUISINE VITAMIN AS
814611892,CAMPIA LADE AS
814743152,CONVERSIO APS
814764672,CARLSEN CONSULTING
814765512,CITEC OY AB
814775402,CORINNE ALICE AS
814781712,CJ RENHOLD OG HJEMMEHJELP SERVICE DA
814788792,CHRISTER STENERUD-AADLAND
814789012,CHRISTIANIA BYGGTEKNIKK AS
814789322,CECILIE BREKKAN
814795632,CAMILLA STRØMMESEN MYRVOLL
814819302,CONDOR INVEST AS
814892972,CAPRICORN REBECCA HELENA HOLM
814936732,C OLSEN AS
814945782,CONTAIN INVEST AS
814990362,CONSULTOR AS
814990702,CARISMA EIENDOM AS
815013972,COGITO IT AS
815037782,"CHRIS WEBERG BODYWORK, HEALTH AND EMBODIMENT"
815056302,CITYCON HOLDING AS
815062582,CREATIVE MILL AS
815063422,CHRISTIAN S. MYHRE LEGEPRAKSIS
815076702,CIRCON HOLDING AS
