organisasjonsnummer,navn
812874322,99X TECHNOLOGY AS
814514382,9910 INVEST AS
817030572,91 IDELIGEN AS
817240682,9KO PRODUCTIONS OLE ANDRE NIKOLAISEN
830064192,905 SØRENSEN
891446292,9910 EIENDOM AS
911753529,9 LIV
912106691,96PÅTUR
912186334,925 CATRINE LINDER SANDBERG
916040261,9000-BYEN HESTESPORTSKLUBB
916055145,9ERN BÅTFORENING
916742754,93 SOLUTIONS SIMONSEN
917525668,9TEN AS
918716297,9900WATT AS
921360517,93 HOLDING AS
922559716,92 KOPPER KAFFE FILMPRODUKSJON ANS
923181490,9XX HOLDING AS
923455744,99X INVESTMENT AS
923455957,99X HOLDING AS
923766391,9000 BYGG AS
923872027,9TIL4 AS
923936211,94 MARION NORDVIK
924339071,9-FINGERLIA HYTTEFORENING
924986239,92/4 SANDEN THEA SEVERINE SLIPER HELSET
925056952,9COELEKTRO NICOLAY ANTHONY RIIS LILENG
925243566,95 HOLDING AS
925525049,9TH OCTOBER DA
925879177,911 INVEST AS
926062220,9 ANGELS HOLDING AS
926647334,9 FJELL HOLDING AS
927203146,91X GROUP AS
927206226,9NA HOLDING AS
927210525,92 INVEST AS
928226506,9-1-1 NAILS & BEAUTY KAROLINA SZERKUS
928470679,90 GRADER AS
928578143,"9,5 TOMMELTOTTA AS"
928907279,999 ALMASRI
929908899,9TOO LUNDE
930518832,9T NORDICS AS
930824321,917 EIENDOM AS
930991031,9B BARDU 2023
931566822,92 IDÉ AS
931631802,9GRANDCOLLECTIVE - UNDER MAGNUS KRISTOFFER HERMANSEN
931844431,9 LIVSENERGIER AS
932018160,92 HOLDING AS
932066858,90TIMEROMDAGEN ANDERSEN
932430541,97004 BAKER HUGHES TANANGER NORGE.
963301812,9.NUT AS
980327000,911-TJENESTEN AS
982591368,911 FREELANCE FRODE ANDERSEN
983083560,9TH CONGRESS FOR THE EUROPEAN SOCIETY FOR PHOTOBIOLOGY
983102603,929 PRODUKSJON AS
987749105,9NAART - NINA FALKENÅS
991545034,99 % HOLDING AS
991662413,9TO5 EVENTS MATS NYBERG
992402938,911PARTYPHONE
995588609,911 HOLDING AS
997277945,9001 TEAM ÅSMUL
997800060,9CO WEBDESIGN - NICHOLAS ARNESEN
998179793,9 TEK AS
998777402,9 & THE BALD AS
